eBird_Clements_v2022,eBird_Clements_v2021,BirdLife_v3,BirdLife_v7,IOC_v13.1
Archilochus alexandri,Archilochus alexandri,Archilochus alexandri,Archilochus alexandri,Archilochus alexandri
Calypte anna,Calypte anna,Calypte anna,Calypte anna,Calypte anna
Calypte costae,Calypte costae,Calypte costae,Calypte costae,Calypte costae
Nesophlox evelynae,Nesophlox evelynae,Calliphlox evelynae,Nesophlox evelynae,Nesophlox evelynae
Calliphlox amethystina,Calliphlox amethystina,Calliphlox amethystina,Calliphlox amethystina,Calliphlox amethystina
Mellisuga helenae,Mellisuga helenae,Mellisuga helenae,Mellisuga helenae,Mellisuga helenae
Mellisuga minima,Mellisuga minima,Mellisuga minima,Mellisuga minima,Mellisuga minima
Selasphorus calliope,Selasphorus calliope,Stellula calliope,Selasphorus calliope,Selasphorus calliope
Selasphorus heloisa,Selasphorus heloisa,Atthis heloisa,Selasphorus heloisa,Selasphorus heloisa
Selasphorus ellioti,Selasphorus ellioti,Atthis ellioti,Selasphorus ellioti,Selasphorus ellioti
Myrtis fanny,Myrtis fanny,Myrtis fanny,Myrtis fanny,Myrtis fanny
Eulidia yarrellii,Eulidia yarrellii,Eulidia yarrellii,Eulidia yarrellii,Eulidia yarrellii
Myrmia micrura,Myrmia micrura,Myrmia micrura,Myrmia micrura,Myrmia micrura
Chaetocercus mulsant,Chaetocercus mulsant,Chaetocercus mulsant,Chaetocercus mulsant,Chaetocercus mulsant
Chaetocercus bombus,Chaetocercus bombus,Chaetocercus bombus,Chaetocercus bombus,Chaetocercus bombus
Chaetocercus heliodor,Chaetocercus heliodor,Chaetocercus heliodor,Chaetocercus heliodor,Chaetocercus heliodor
Chaetocercus astreans,Chaetocercus astreans,Chaetocercus astreans,Chaetocercus astreans,Chaetocercus astreans
Chaetocercus berlepschi,Chaetocercus berlepschi,Chaetocercus berlepschi,Chaetocercus berlepschi,Chaetocercus berlepschi
Chaetocercus jourdanii,Chaetocercus jourdanii,Chaetocercus jourdanii,Chaetocercus jourdanii,Chaetocercus jourdanii
Selasphorus platycercus,Selasphorus platycercus,Selasphorus platycercus,Selasphorus platycercus,Selasphorus platycercus
Selasphorus rufus,Selasphorus rufus,Selasphorus rufus,Selasphorus rufus,Selasphorus rufus
Selasphorus sasin,Selasphorus sasin,Selasphorus sasin,Selasphorus sasin,Selasphorus sasin
Selasphorus flammula,Selasphorus flammula,Selasphorus flammula,Selasphorus flammula,Selasphorus flammula
Selasphorus scintilla,Selasphorus scintilla,Selasphorus scintilla,Selasphorus scintilla,Selasphorus scintilla
Selasphorus ardens,Selasphorus ardens,Selasphorus ardens,Selasphorus ardens,Selasphorus ardens
Tauraco persa,Tauraco persa,Tauraco persa,Tauraco persa,Tauraco persa
Tauraco schuettii,Tauraco schuettii,Tauraco schuetti,Tauraco schuettii,Tauraco schuettii
Tauraco schalowi,Tauraco schalowi,Tauraco schalowi,Tauraco schalowi,Tauraco schalowi
Tauraco fischeri,Tauraco fischeri,Tauraco fischeri,Tauraco fischeri,Tauraco fischeri
Tauraco livingstonii,Tauraco livingstonii,Tauraco livingstonii,Tauraco livingstonii,Tauraco livingstonii
Tauraco corythaix,Tauraco corythaix,Tauraco corythaix,Tauraco corythaix,Tauraco corythaix
Tauraco bannermani,Tauraco bannermani,Tauraco bannermani,Tauraco bannermani,Tauraco bannermani
Tauraco erythrolophus,Tauraco erythrolophus,Tauraco erythrolophus,Tauraco erythrolophus,Tauraco erythrolophus
Tauraco macrorhynchus,Tauraco macrorhynchus,Tauraco macrorhynchus,Tauraco macrorhynchus,Tauraco macrorhynchus
Tauraco leucotis,Tauraco leucotis,Tauraco leucotis,Tauraco leucotis,Menelikornis leucotis
Tauraco ruspolii,Tauraco ruspolii,Tauraco ruspolii,Tauraco ruspolii,Menelikornis ruspolii
Tauraco hartlaubi,Tauraco hartlaubi,Tauraco hartlaubi,Tauraco hartlaubi,Tauraco hartlaubi
Tauraco leucolophus,Tauraco leucolophus,Tauraco leucolophus,Tauraco leucolophus,Tauraco leucolophus
Ruwenzorornis johnstoni,Ruwenzorornis johnstoni,Ruwenzorornis johnstoni,Gallirex johnstoni,Gallirex johnstoni
Tauraco porphyreolophus,Tauraco porphyreolophus,Tauraco porphyreolophus,Gallirex porphyreolophus,Gallirex porphyreolophus
Musophaga violacea,Musophaga violacea,Musophaga violacea,Musophaga violacea,Tauraco violaceus
Musophaga rossae,Musophaga rossae,Musophaga rossae,Musophaga rossae,Tauraco rossae
Corythaixoides concolor,Corythaixoides concolor,Corythaixoides concolor,Corythaixoides concolor,Crinifer concolor
Corythaixoides personatus,Corythaixoides personatus,Corythaixoides personatus,Corythaixoides personatus,Crinifer personatus
Corythaixoides leucogaster,Corythaixoides leucogaster,Corythaixoides leucogaster,Criniferoides leucogaster,Crinifer leucogaster
Crinifer piscator,Crinifer piscator,Crinifer piscator,Crinifer piscator,Crinifer piscator
Crinifer zonurus,Crinifer zonurus,Crinifer zonurus,Crinifer zonurus,Crinifer zonurus
Corythaeola cristata,Corythaeola cristata,Corythaeola cristata,Corythaeola cristata,Corythaeola cristata
Tyto tenebricosa,Tyto tenebricosa,Tyto tenebricosa,Tyto tenebricosa,Tyto tenebricosa
Tyto inexspectata,Tyto inexspectata,Tyto inexspectata,Tyto inexspectata,Tyto inexspectata
Tyto nigrobrunnea,Tyto nigrobrunnea,Tyto nigrobrunnea,Tyto nigrobrunnea,Tyto nigrobrunnea
Tyto sororcula,Tyto sororcula,Tyto sororcula,NA,Tyto sororcula
Tyto manusi,Tyto manusi,Tyto manusi,NA,Tyto manusi
Tyto aurantia,Tyto aurantia,Tyto aurantia,Tyto aurantia,Tyto aurantia
Tyto novaehollandiae,Tyto novaehollandiae,Tyto novaehollandiae,Tyto novaehollandiae,Tyto novaehollandiae
Tyto rosenbergii,Tyto rosenbergii,Tyto rosenbergii,Tyto rosenbergii,Tyto rosenbergii
Tyto soumagnei,Tyto soumagnei,Tyto soumagnei,Tyto soumagnei,Tyto soumagnei
Tyto alba,Tyto alba,Tyto alba,Tyto alba,Tyto alba
Tyto glaucops,Tyto glaucops,Tyto glaucops,Tyto glaucops,Tyto glaucops
Tyto capensis,Tyto capensis,Tyto capensis,Tyto capensis,Tyto capensis
Tyto longimembris,Tyto longimembris,Tyto longimembris,Tyto longimembris,Tyto longimembris
Tyto prigoginei,Phodilus prigoginei,Phodilus prigoginei,NA,NA
Phodilus badius,Phodilus badius,Phodilus badius,Phodilus badius,Phodilus badius
Otus sagittatus,Otus sagittatus,Otus sagittatus,Otus sagittatus,Otus sagittatus
Otus rufescens,Otus rufescens,Otus rufescens,Otus rufescens,Otus rufescens
Otus icterorhynchus,Otus icterorhynchus,Otus icterorhynchus,Otus icterorhynchus,Otus icterorhynchus
Otus ireneae,Otus ireneae,Otus ireneae,Otus ireneae,Otus ireneae
Otus balli,Otus balli,Otus balli,Otus balli,Otus balli
Otus spilocephalus,Otus spilocephalus,Otus spilocephalus,Otus spilocephalus,Otus spilocephalus
Otus umbra,Otus umbra,Otus umbra,Otus umbra,Otus umbra
Otus angelinae,Otus angelinae,Otus angelinae,Otus angelinae,Otus angelinae
Otus manadensis,Otus manadensis,Otus manadensis,Otus manadensis,Otus manadensis
Otus longicornis,Otus longicornis,Otus longicornis,Otus longicornis,Otus longicornis
Otus mindorensis,Otus mindorensis,Otus mindorensis,Otus mindorensis,Otus mindorensis
Otus mirus,Otus mirus,Otus mirus,Otus mirus,Otus mirus
Otus hartlaubi,Otus hartlaubi,Otus hartlaubi,Otus hartlaubi,Otus hartlaubi
Otus brucei,Otus brucei,Otus brucei,Otus brucei,Otus brucei
Psiloscops flammeolus,Psiloscops flammeolus,Otus flammeolus,Psiloscops flammeolus,Psiloscops flammeolus
Otus scops,Otus scops,Otus scops,Otus scops,Otus scops
Otus sunia,Otus sunia,Otus sunia,Otus sunia,Otus sunia
Otus senegalensis,Otus senegalensis,Otus senegalensis,Otus senegalensis,Otus senegalensis
Otus elegans,Otus elegans,Otus elegans,Otus elegans,Otus elegans
Otus mantananensis,Otus mantananensis,Otus mantananensis,Otus mantananensis,Otus mantananensis
Otus magicus,Otus magicus,Otus magicus,Otus magicus,Otus magicus
Otus beccarii,Otus beccarii,Otus beccarii,Otus beccarii,Otus beccarii
Otus alfredi,Otus alfredi,Otus alfredi,Otus alfredi,Otus alfredi
Otus enganensis,Otus enganensis,Otus enganensis,Otus enganensis,Otus enganensis
Otus insularis,Otus insularis,Otus insularis,Otus insularis,Otus insularis
Otus rutilus,Otus rutilus,Otus rutilus,Otus rutilus,Otus rutilus
Otus pembaensis,Otus pembaensis,Otus pembaensis,Otus pembaensis,Otus pembaensis
Otus capnodes,Otus capnodes,Otus capnodes,Otus capnodes,Otus capnodes
Otus pauliani,Otus pauliani,Otus pauliani,Otus pauliani,Otus pauliani
Otus brookii,Otus brookii,Otus brookii,Otus brookii,Otus brookii
Otus bakkamoena,Otus bakkamoena,Otus bakkamoena,Otus bakkamoena,Otus bakkamoena
Otus lettia,Otus lettia,Otus lettia,Otus lettia,Otus lettia
Otus lempiji,Otus lempiji,Otus lempiji,Otus lempiji,Otus lempiji
Otus semitorques,Otus semitorques,Otus semitorques,Otus semitorques,Otus semitorques
Otus mentawi,Otus mentawi,Otus mentawi,Otus mentawi,Otus mentawi
Otus fuliginosus,Otus fuliginosus,Otus fuliginosus,Otus fuliginosus,Otus fuliginosus
Otus megalotis,Otus megalotis,Otus megalotis,Otus megalotis,Otus megalotis
Otus silvicola,Otus silvicola,Otus silvicola,Otus silvicola,Otus silvicola
Vireolanius leucotis,Vireolanius leucotis,Otus leucotis,Vireolanius leucotis,Vireolanius leucotis
Megascops kennicottii,Megascops kennicottii,Megascops kennicottii,Megascops kennicottii,Megascops kennicottii
Megascops seductus,Megascops seductus,Megascops seductus,Megascops seductus,Megascops seductus
Megascops cooperi,Megascops cooperi,Megascops cooperi,Megascops cooperi,Megascops cooperi
Megascops asio,Megascops asio,Megascops asio,Megascops asio,Megascops asio
Megascops trichopsis,Megascops trichopsis,Megascops trichopsis,Megascops trichopsis,Megascops trichopsis
Megascops choliba,Megascops choliba,Megascops choliba,Megascops choliba,Megascops choliba
Megascops koepckeae,Megascops koepckeae,Megascops koepckeae,Megascops koepckeae,Megascops koepckeae
Megascops roboratus,Megascops roboratus,Megascops roboratus,Megascops roboratus,Megascops roboratus
Megascops clarkii,Megascops clarkii,Megascops clarkii,Megascops clarkii,Megascops clarkii
Megascops barbarus,Megascops barbarus,Megascops barbarus,Megascops barbarus,Megascops barbarus
Megascops ingens,Megascops ingens,Megascops ingens,Megascops ingens,Megascops ingens
Megascops marshalli,Megascops marshalli,Megascops marshalli,Megascops marshalli,Megascops marshalli
Megascops watsonii,Megascops watsonii,Megascops watsonii,Megascops watsonii,Megascops watsonii
Megascops atricapilla,Megascops atricapilla,Megascops atricapilla,Megascops atricapilla,Megascops atricapilla
Megascops hoyi,Megascops hoyi,Megascops hoyi,Megascops hoyi,Megascops hoyi
Megascops guatemalae,Megascops guatemalae,Megascops guatemalae,Megascops guatemalae,Megascops guatemalae
Megascops sanctaecatarinae,Megascops sanctaecatarinae,Megascops sanctaecatarinae,Megascops sanctaecatarinae,Megascops sanctaecatarinae
Margarobyas lawrencii,Margarobyas lawrencii,Gymnoglaux lawrencii,Margarobyas lawrencii,Margarobyas lawrencii
Gymnasio nudipes,Gymnasio nudipes,Megascops nudipes,Megascops nudipes,Gymnasio nudipes
Otus podarginus,Pyrroglaux podargina,Otus podarginus,NA,NA
Megascops albogularis,Megascops albogularis,Megascops albogularis,Megascops albogularis,Megascops albogularis
Otus gurneyi,Otus gurneyi,Mimizuku gurneyi,Otus gurneyi,Otus gurneyi
Bubo virginianus,Bubo virginianus,Bubo virginianus,Bubo virginianus,Bubo virginianus
Bubo bubo,Bubo bubo,Bubo bubo,Bubo bubo,Bubo bubo
Bubo bengalensis,Bubo bengalensis,Bubo bengalensis,Bubo bengalensis,Bubo bengalensis
Bubo ascalaphus,Bubo ascalaphus,Bubo ascalaphus,Bubo ascalaphus,Bubo ascalaphus
Bubo capensis,Bubo capensis,Bubo capensis,Bubo capensis,Bubo capensis
Bubo africanus,Bubo africanus,Bubo africanus,Bubo africanus,Bubo africanus
Ketupa poensis,Bubo poensis,Bubo poensis,NA,NA
Ketupa nipalensis,Bubo nipalensis,Bubo nipalensis,NA,NA
Ketupa sumatranus,Bubo sumatranus,Bubo sumatranus,NA,NA
Ketupa shelleyi,Bubo shelleyi,Bubo shelleyi,NA,NA
Ketupa lacteus,Bubo lacteus,Bubo lacteus,NA,NA
Ketupa coromandus,Bubo coromandus,Bubo coromandus,NA,NA
Ketupa leucostictus,Bubo leucostictus,Bubo leucostictus,NA,NA
Ketupa philippensis,Bubo philippensis,Bubo philippensis,NA,NA
Ketupa blakistoni,Ketupa blakistoni,Ketupa blakistoni,Bubo blakistoni,Ketupa blakistoni
Ketupa zeylonensis,Ketupa zeylonensis,Ketupa zeylonensis,Ketupa zeylonensis,Ketupa zeylonensis
Ketupa flavipes,Ketupa flavipes,Ketupa flavipes,Ketupa flavipes,Ketupa flavipes
Ketupa ketupu,Ketupa ketupu,Ketupa ketupu,Ketupa ketupu,Ketupa ketupu
Bubo scandiacus,Bubo scandiacus,Bubo scandiaca,Bubo scandiacus,Bubo scandiacus
Scotopelia peli,Scotopelia peli,Scotopelia peli,Scotopelia peli,Scotopelia peli
Scotopelia ussheri,Scotopelia ussheri,Scotopelia ussheri,Scotopelia ussheri,Scotopelia ussheri
Scotopelia bouvieri,Scotopelia bouvieri,Scotopelia bouvieri,Scotopelia bouvieri,Scotopelia bouvieri
Strix seloputo,Strix seloputo,Strix seloputo,Strix seloputo,Strix seloputo
Strix ocellata,Strix ocellata,Strix ocellata,Strix ocellata,Strix ocellata
Strix leptogrammica,Strix leptogrammica,Strix leptogrammica,Strix leptogrammica,Strix leptogrammica
Strix aluco,Strix aluco,Strix aluco,Strix aluco,Strix aluco
Strix butleri,Strix butleri,Strix butleri,Strix butleri,Strix butleri
Strix occidentalis,Strix occidentalis,Strix occidentalis,Strix occidentalis,Strix occidentalis
Strix varia,Strix varia,Strix varia,Strix varia,Strix varia
Strix fulvescens,Strix fulvescens,Strix fulvescens,Strix fulvescens,Strix fulvescens
Strix hylophila,Strix hylophila,Strix hylophila,Strix hylophila,Strix hylophila
Strix rufipes,Strix rufipes,Strix rufipes,Strix rufipes,Strix rufipes
Strix uralensis,Strix uralensis,Strix uralensis,Strix uralensis,Strix uralensis
Strix uralensis,Strix davidi,Strix davidi,NA,NA
Strix nebulosa,Strix nebulosa,Strix nebulosa,Strix nebulosa,Strix nebulosa
Strix virgata,Ciccaba virgata,Strix virgata,NA,NA
Strix nigrolineata,Ciccaba nigrolineata,Strix nigrolineata,NA,NA
Strix huhula,Ciccaba huhula,Strix huhula,NA,NA
Strix albitarsis,Ciccaba albitarsis,Strix albitarsis,NA,NA
Strix woodfordii,Strix woodfordii,Strix woodfordii,Strix woodfordii,Strix woodfordii
Jubula lettii,Jubula lettii,Jubula lettii,Jubula lettii,Jubula lettii
Lophostrix cristata,Lophostrix cristata,Lophostrix cristata,Lophostrix cristata,Lophostrix cristata
Pulsatrix perspicillata,Pulsatrix perspicillata,Pulsatrix perspicillata,Pulsatrix perspicillata,Pulsatrix perspicillata
Pulsatrix koeniswaldiana,Pulsatrix koeniswaldiana,Pulsatrix koeniswaldiana,Pulsatrix koeniswaldiana,Pulsatrix koeniswaldiana
Pulsatrix melanota,Pulsatrix melanota,Pulsatrix melanota,Pulsatrix melanota,Pulsatrix melanota
Surnia ulula,Surnia ulula,Surnia ulula,Surnia ulula,Surnia ulula
Glaucidium passerinum,Glaucidium passerinum,Glaucidium passerinum,Glaucidium passerinum,Glaucidium passerinum
Taenioptynx brodiei,Taenioptynx brodiei,Glaucidium brodiei,Glaucidium brodiei,Taenioptynx brodiei
Glaucidium perlatum,Glaucidium perlatum,Glaucidium perlatum,Glaucidium perlatum,Glaucidium perlatum
Glaucidium gnoma,Glaucidium gnoma,Glaucidium californicum,Glaucidium gnoma,Glaucidium gnoma
Glaucidium gnoma,Glaucidium gnoma,Glaucidium gnoma,Glaucidium gnoma,Glaucidium gnoma
Glaucidium jardinii,Glaucidium jardinii,Glaucidium jardinii,Glaucidium jardinii,Glaucidium jardinii
Glaucidium bolivianum,Glaucidium bolivianum,Glaucidium bolivianum,Glaucidium bolivianum,Glaucidium bolivianum
Glaucidium palmarum,Glaucidium palmarum,Glaucidium palmarum,Glaucidium palmarum,Glaucidium palmarum
Glaucidium sanchezi,Glaucidium sanchezi,Glaucidium sanchezi,Glaucidium sanchezi,Glaucidium sanchezi
Glaucidium griseiceps,Glaucidium griseiceps,Glaucidium griseiceps,Glaucidium griseiceps,Glaucidium griseiceps
Glaucidium parkeri,Glaucidium parkeri,Glaucidium parkeri,Glaucidium parkeri,Glaucidium parkeri
Glaucidium hardyi,Glaucidium hardyi,Glaucidium hardyi,Glaucidium hardyi,Glaucidium hardyi
Glaucidium minutissimum,Glaucidium minutissimum,Glaucidium minutissimum,Glaucidium minutissimum,Glaucidium minutissimum
Glaucidium brasilianum,Glaucidium brasilianum,Glaucidium brasilianum,Glaucidium brasilianum,Glaucidium brasilianum
Glaucidium peruanum,Glaucidium peruanum,Glaucidium peruanum,Glaucidium peruanum,Glaucidium peruanum
Glaucidium brasilianum,Glaucidium brasilianum,Glaucidium nanum,Glaucidium brasilianum,Glaucidium brasilianum
Glaucidium siju,Glaucidium siju,Glaucidium siju,Glaucidium siju,Glaucidium siju
Glaucidium tephronotum,Glaucidium tephronotum,Glaucidium tephronotum,Glaucidium tephronotum,Glaucidium tephronotum
Glaucidium sjostedti,Glaucidium sjostedti,Glaucidium sjostedti,Glaucidium sjostedti,Glaucidium sjostedti
Glaucidium cuculoides,Glaucidium cuculoides,Glaucidium cuculoides,Glaucidium cuculoides,Glaucidium cuculoides
Glaucidium castanopterum,Glaucidium castanopterum,Glaucidium castanopterum,Glaucidium castanopterum,Glaucidium castanopterum
Glaucidium radiatum,Glaucidium radiatum,Glaucidium radiatum,Glaucidium radiatum,Glaucidium radiatum
Glaucidium cuculoides,Glaucidium cuculoides,Glaucidium castanonotum,Glaucidium cuculoides,Glaucidium cuculoides
Glaucidium capense,Glaucidium capense,Glaucidium capense,Glaucidium capense,Glaucidium capense
Glaucidium castanotum,Glaucidium castaneum,Glaucidium castaneum,NA,NA
Glaucidium albertinum,Glaucidium albertinum,Glaucidium albertinum,Glaucidium albertinum,Glaucidium albertinum
Xenoglaux loweryi,Xenoglaux loweryi,Xenoglaux loweryi,Xenoglaux loweryi,Xenoglaux loweryi
Micrathene whitneyi,Micrathene whitneyi,Micrathene whitneyi,Micrathene whitneyi,Micrathene whitneyi
Athene noctua,Athene noctua,Athene noctua,Athene noctua,Athene noctua
Athene brama,Athene brama,Athene brama,Athene brama,Athene brama
Athene blewitti,Athene blewitti,Heteroglaux blewitti,Athene blewitti,Athene blewitti
Athene cunicularia,Athene cunicularia,Athene cunicularia,Athene cunicularia,Athene cunicularia
Aegolius funereus,Aegolius funereus,Aegolius funereus,Aegolius funereus,Aegolius funereus
Aegolius acadicus,Aegolius acadicus,Aegolius acadicus,Aegolius acadicus,Aegolius acadicus
Aegolius ridgwayi,Aegolius ridgwayi,Aegolius ridgwayi,Aegolius ridgwayi,Aegolius ridgwayi
Aegolius harrisii,Aegolius harrisii,Aegolius harrisii,Aegolius harrisii,Aegolius harrisii
Ninox rufa,Ninox rufa,Ninox rufa,Ninox rufa,Ninox rufa
Ninox strenua,Ninox strenua,Ninox strenua,Ninox strenua,Ninox strenua
Ninox connivens,Ninox connivens,Ninox connivens,Ninox connivens,Ninox connivens
Ninox rudolfi,Ninox rudolfi,Ninox rudolfi,Ninox rudolfi,Ninox rudolfi
Ninox boobook,Ninox boobook,Ninox boobook,Ninox boobook,Ninox boobook
Ninox novaeseelandiae,Ninox novaeseelandiae,Ninox novaeseelandiae,Ninox novaeseelandiae,Ninox novaeseelandiae
Ninox scutulata,Ninox scutulata,Ninox scutulata,Ninox scutulata,Ninox scutulata
